"Parlament","OGD Portal","OGD Parlamentsdaten","Parlamentsmitglieder","Parlamentsmitglieder - Link","Interessenbindung","Interessbindung - Link","Kommissionen","Kommissionen - Link","Kommissionzugehörigkeit","Kommissionzugehörigkeit - Link","Vorstösse","Vorstösse - Link","Geschäfte","Geschäfte - Link","Regierungsoutput","Regierungsoutput - Link","Medienmitteilung","Medienmitteilungen - Link","Abstimmungen (Parlament)","Abstimmungen (Parlament) - Link","Kontakt Parlamentsdienste","Content Management System","Kommentar"
"GR","https://opendata.swiss/de/organization/kanton-graubuenden",,"HTML","https://www.gl.ch/public-newsroom.html/30#main","HTML",,"HTML","https://www.gr.ch/DE/institutionen/parlament/organisation/Seiten/StaendigeKommissionen.aspx","HTML","https://www.gr.ch/DE/institutionen/parlament/organisation/Seiten/StaendigeKommissionen.aspx","HTML","https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/Parlamentarische_Vorstoesse.aspx","HTML","https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/Parlamentarische_Vorstoesse.aspx","PDF","https://www.gr.ch/DE/institutionen/parlament/botschaften/2021-2030/Seiten/Botschaften2022_2023.aspx","HTML","https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/Seiten/Aktuell.aspx","CSV/Excel","https://www.gr.ch/DE/institutionen/parlament/abstimmungen/Seiten/2023.aspx",,"https://www.seven49.net/de/home/welcome1.htm","Interessenbindung ist auf HTML-Seite der Mitglieder"
"JU","nicht vorhanden",,"HTML","https://www.jura.ch/fr/Autorites/PLT/Liste-alphabetique-des-parlementaires/Le-Parlement-jurassien-Legislature-2021-2025.html","PDF","https://www.jura.ch/Htdocs/Files/v/40549.pdf/Parlement/Deputes_suppleants/Documents/pdf_et_fichiers_xls/Registre-des-interets-PLT-2021-2025_09---septembre-2022.pdf?download=1","HTML","https://www.jura.ch/PLT/Commissions-parlementaires/Commissions-permanentes-et-speciales-du-Parlement-Jurassien.html","HTML","https://www.jura.ch/PLT/Commissions-parlementaires/Commissions-permanentes-et-speciales-du-Parlement-Jurassien.html","HTML","https://www.jura.ch/PLT/Interventions-parlementaires-deposees/Interventions-parlementaires-deposees.html","Nicht Vorhanden",,"PDF","https://www.jura.ch/Htdocs/Files/v/35373.pdf/Gouvernement/Documents/RGL-2015-2020/Rapport_Legislature_2016_2020.pdf?download=1","PDF","https://www.jura.ch/PLT/Communiques-de-presse-du-Bureau-et-des-commissions/Communiques-de-presse-du-Bureau-et-des-commissions.html","HTML","https://www.jura.ch/AppHost/9964,2/Scripts/Modules/VotesPLT/SearchVotes.aspx",,"http://www.artionet.com/",
"LU","nicht vorhanden",,"CSV/Excel","https://www.lu.ch/kr/mitglieder_und_organe/mitglieder","PDF","https://www.lu.ch/downloads/lu/sk/ib/Mueller_Guido.pdf","HTML","https://www.lu.ch/kr/mitglieder_und_organe/kommissionen","HTML","https://www.lu.ch/kr/mitglieder_und_organe/kommissionen","HTML","https://www.lu.ch/kr/parlamentsgeschaefte","HTML","https://www.lu.ch/kr/parlamentsgeschaefte","PDF","https://www.lu.ch/regierung/vernehmlassungen_stellungnahmen","Nicht Vorhanden",,"PDF","https://www.lu.ch/kr/parlamentsgeschaefte/",,,"Keine Übersichtsseite zu den Interessenbindungen der Kantonsrät:innen vorhanden."
"NE","nicht vorhanden",,"HTML","https://www.ne.ch/autorites/GC/composition/Pages/Deputes.aspx","HTML","https://www.ne.ch/autorites/GC/composition/Pages/Liste-liens-interets.aspx","HTML","https://www.ne.ch/autorites/GC/composition/cp/Pages/accueil.aspx","HTML","https://www.ne.ch/autorites/GC/composition/cp/Pages/accueil.aspx","PDF","https://www.ne.ch/autorites/GC/objets/Pages/accueil.aspx","Nicht Vorhanden",,"PDF","https://www.ne.ch/autorites/CE/consultations/Pages/accueil.aspx","PDF","https://www.ne.ch/autorites/GC/medias/Pages/accueil.aspx","Nicht Vorhanden","nichts gefunden...",,"Service informatique de l'Entité neuchâteloise",
"NW","nicht vorhanden",,"HTML","https://www.nw.ch/mitgliederlandrat","Nicht Vorhanden",,"HTML","https://www.nw.ch/behoerden","HTML","https://www.nw.ch/behoerden","PDF","https://www.nw.ch/politbusiness","PDF","https://www.nw.ch/politbusiness","Nicht Vorhanden","https://www.nw.ch/exekutivgeschaefte","HTML","https://www.nw.ch/politikinformationen","Nicht Vorhanden",,,"https://www.i-web.ch/","Es werden Sitzungsprotokolle mit den Abstimmungsergebnissen veröffentlicht unter https://www.nw.ch/sitzung, nicht jedoch das individuelle Stimmverhalten der Landräte. Interessenbindungen der Landrät:innen müssen zwar gemäss Gesetz schriftlich offengelegt werden, finden sich jedoch nicht im Internet."
"OW","nicht vorhanden",,"HTML","https://www.ow.ch/legislative/1532","Nicht Vorhanden",,"HTML","https://www.ow.ch/koerperschaften/349","HTML","https://www.ow.ch/koerperschaften/349","HTML","https://www.ow.ch/politbusiness","HTML","https://www.ow.ch/politbusiness","PDF","https://www.ow.ch/exekutivgeschaefte","HTML","https://www.ow.ch/politikinformationen","Nicht Vorhanden",,,"https://www.i-web.ch/",
"SG","https://www.daten.sg.ch/",,"HTML","https://www.sg.ch/politik-verwaltung/kantonsrat/mitglieder.html","HTML","https://www.ratsinfo.sg.ch/personen/6","HTML","https://www.ratsinfo.sg.ch/gremien?state=active","HTML","https://www.ratsinfo.sg.ch/gremien?state=active","HTML","https://www.ratsinfo.sg.ch/geschaefte","HTML",,"Nicht Vorhanden","https://www.sg.ch/politik-verwaltung/regierung.html",,,"REST-API/RSS","https://www.ratsinfo.sg.ch/api/votings/2972",,"http://www.liip.ch/",
"SH","https://data.sh.ch/katalog",,"HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Mitglieder-und-Parteien-1042762-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Mitglieder-und-Parteien/Mitglieder-und-Fraktionen-2304166-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat-1311708-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Gesundheitskommission-2294094-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Gesch-fte-Kantonsrat-2278849-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Portal-Kantonsrat---Ratsbetrieb/Vorlagen-Regierung-2279089-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei/Medienmitteilungen-1240574-DE.html","HTML","https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei/Medienmitteilungen-1240574-DE.html","CSV/Excel","https://sh.ch/CMS/get/file/1eb3b6ce-cdb8-4f61-b124-3c83cea014f4",,"https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/KSD-Schaffhausen-3930-DE.html",
"SZ","https://data.sz.ch/",,"HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/mitglieder.html/72-416-375-8400-8428","HTML","https://kanzlei.sz.ch/app/transparency/de/people/office","HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/kommissionen.html/72-416-375-8400-8408","HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/kommissionen/ruveko.html/72-416-375-8400-8408-8417","HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/geschaefte/parlamentarische-vorstoesse.html/72-416-375-8400-8438-8441","HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/geschaefte.html/72-416-375-8400-8438","Nicht Vorhanden",,"HTML","https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/medienmitteilungen/medienmitteilungen.html/72-416-375-8400-353-242","PDF","https://www.sz.ch/route/cmischwyz-dokument-getDokument/dok_id/4630B0A8D0FD927C438698528FA59C18C8C6D49EABD8B8F79083D726AC31909A1B5091925F964FE1177D9D8F8D565E4A9BA19BED96BC8B91AC91B7961440CCCD89A2DB5B09713BA410CB508D5E4ED77EC4C4CF18F88EAEDE9858B80990A48412398458DDC6C0E0DDBC80A09C68584AB4DADDC6D6AEB09EE2FBB5CE82A8D3829BEDCB8C80DF8CACA8239F56E9CF4EDDAE4483CDCDB45AEC4950E0CB9B9A965E6CA59F0524C5C694D0BC9E82B2FC81B89E1B0A3E96BD79810FB49E409CA2EEE2",,"Amt für Informatik",
"SO",,,"HTML","https://so.ch/parlament/ratsmitglieder/alphabetisch/","PDF","https://so.ch/fileadmin/internet/pd/pdf/interessenbindungen/dietschi_interessen.pdf","HTML","https://so.ch/parlament/organisation/kommissionen/","HTML","https://so.ch/parlament/organisation/kommissionen/","HTML","https://so.ch/parlament/geschaefte/vorstoesse/eingereichte-vorstoesse/","HTML","https://so.ch/parlament/geschaefte/rg-und-sgb/","HTML","https://rrb.so.ch/","HTML","https://so.ch/staatskanzlei/medien/medienarchiv-2023/maerz/","PDF","https://so.ch/parlament/ratsdokumente/?juHash=fec9d9e4d80afa1e84345a77f5a488ff10f8b369&jumpurl=fileadmin%2Finternet%2Fpd%2FPD-Downloadcenter%2FGeschaefte%2F2022%2F2022-064_SGB_Projektergaenzungen_A1_Gaeu%2F0064-2022.OA_Urech_I.pdf&juSecure=1&locationData=30195%3Apages%3A30195&cHash=4d7e8b29148b2b14ac5eecac6e669a84",,"https://so.ch/verwaltung/finanzdepartement/amt-fuer-informatik-und-organisation/",
"TG","https://data.tg.ch/","https://data.tg.ch/explore/dataset/sk-stat-75/information/","PDF","https://parlament.tg.ch/public/upload/assets/141557/Mitglieder%20Grosser%20Rat%2C%20alphabetisch_Stand%2010.03.2023.pdf?fp=2","PDF","https://parlament.tg.ch/public/upload/assets/141556/Register%20der%20Interessenbindungen%2010.03.2023.pdf?fp=1","HTML","https://www.tg.ch/regierung/kommissionen.html/46","HTML","https://www.tg.ch/regierung/kommissionen.html/46","CSV/Excel","https://data.tg.ch/explore/dataset/sk-stat-75/information/","CSV/Excel","https://data.tg.ch/explore/dataset/sk-stat-75/information/","Nicht Vorhanden",,"REST-API/RSS","https://www.tg.ch/route/rss-rss-getRss/entitylist/10/entitytype/80/lang/1",,,,"https://www.backslash.ch/",
"TI",,,"HTML","https://www4.ti.ch/poteri/gc/parlamento/composizione-del-parlamento/composizione-nelle-ultime-legislature/dettaglio-deputati?user_gcparlamento_pi3%5BcanID%5D=1919&cHash=4d3700aa17afb6e5f3cb4b227a9e1f92","HTML","https://www4.ti.ch/poteri/gc/parlamento/composizione-del-parlamento/composizione-nelle-ultime-legislature/dettaglio-deputati?user_gcparlamento_pi3%5BcanID%5D=1919&cHash=4d3700aa17afb6e5f3cb4b227a9e1f92","HTML","https://www4.ti.ch/poteri/gc/commissioni","HTML","https://www4.ti.ch/poteri/gc/commissioni","HTML","https://www4.ti.ch/poteri/gc/ricerca-messaggi-e-atti/ricerca/risultati","HTML","https://www4.ti.ch/poteri/gc/ricerca-messaggi-e-atti/ricerca/risultati","Nicht Vorhanden",,"REST-API/RSS","https://www4.ti.ch/tich/area-media/home","PDF","https://www4.ti.ch/fileadmin/POTERI/GC/votazioni/5364_2.pdf",,,
"UR",,,"CSV/Excel","Kanton Uri - Landrat","Nicht Vorhanden",,"HTML","Kanton Uri - Kommissionen","HTML","https://www.ur.ch/behoerdenmitglieder/6447","HTML","https://www.ur.ch/politbusiness","HTML","Kanton Uri - Geschäfte","Nicht Vorhanden",,,,,,,"https://www.i-web.ch/de/",
"VD",,,"HTML","Liste des membres du Grand Conseil par ordre alphabétique | État de Vaud (vd.ch)","PDF","https://www.vd.ch/toutes-les-autorites/grand-conseil/depute-e-s/membre-du-grand-conseil/membre/70387#interests","HTML","https://www.vd.ch/toutes-les-autorites/grand-conseil/commissions-parlementaires","HTML","Commission de gestion | État de Vaud (vd.ch)","HTML","https://www.vd.ch/toutes-les-autorites/grand-conseil/seances-du-grand-conseil/point-seance/id/e71bb6d4-8429-4b7a-8d07-3c44293e6d05/meeting/1013637","HTML","https://www.vd.ch/toutes-les-autorites/grand-conseil/seances-du-grand-conseil/point-seance/id/e71bb6d4-8429-4b7a-8d07-3c44293e6d05/meeting/1013637","HTML","https://www.vd.ch/toutes-les-actualites/decisions-du-conseil-detat",,,,,,"BIC (Bureau d'information et de communication de l'Etat de Vaud) et par la DGNSI (Direction générale du numérique et des systèmes d'information de l'Etat de Vaud)",
"VS",,,"HTML","Parlament des Kantons Wallis (vs.ch)","HTML","https://parlement.vs.ch/app/de/search/person/1225","HTML","https://parlement.vs.ch/app/de/search/result?object_type=Commission","HTML","https://parlement.vs.ch/app/de/search/commission/147154","HTML","https://parlement.vs.ch/app/de/link/189912","HTML","https://parlement.vs.ch/app/de/search/result?object_type=ParlProcess","HTML","https://www.vs.ch/de/web/communication/archives?cat=697416","HTML","https://www.vs.ch/de/web/communication/archives?cat=697416","HTML","Parlament des Kantons Wallis (vs.ch)",,"IVS (Staatskanzlei – Information)",
"ZG",,,"HTML","https://zg-compwork.clex.ch/frontend/people","Nicht Vorhanden",,"HTML","https://zg-compwork.clex.ch/frontend/commissions","HTML","https://zg-compwork.clex.ch/frontend/people/142","HTML","https://kr-geschaefte.zug.ch/gast/geschaefte/2531","HTML","https://kr-geschaefte.zug.ch/gast/geschaefte/2531","HTML","https://rrb.zg.ch/?pageSize=50&page=1","HTML","https://www.zg.ch/behoerden/staatskanzlei/kommunikationsstelle/medien/Medienmitteilungen-Gesamt","CSV/Excel","https://www.zg.ch/behoerden/kr/abstimmungsergebnisse-kantonsrat/downloads-abstimmungsergebnisse/20210701a/download",,"http://www.4teamwork.ch/",
"ZH",,"https://opendata.swiss/de/dataset/web-service-des-geschaftsverwaltungssystems-des-kantonsrates-des-kantons-zurich","REST-API/RSS","https://opendata.swiss/de/dataset/web-service-des-geschaftsverwaltungssystems-des-kantonsrates-des-kantons-zurich","REST-API/RSS","https://parlzhcdws.cmicloud.ch/parlzh2/cdws/Index/MITGLIEDER/searchdetails?q=seq%3E0%20and%20dauer_end%20%3E=%20%222020-11-19%2000:00:00%22%20and%20dauer_start%20%3C=%20%222020-11-19%2000:00:00%22%20and%20gremium%20all%20KR%20and%20funktion%20any%20%22Mitglied%20Pr%C3%A4sidium%20Vizepr%C3%A4sidium%22%20sortBy%20name/sort.ascending%20vorname/sort.ascending&l=de-CH","REST-API/RSS","https://parlzhcdws.cmicloud.ch/parlzh2/cdws/Index/BEHOERDEN/searchdetails?q=Gremiumtyp%20all%20*kommission%20sortBy%20name%2Fsort.ascending&l=de-CH","HTML","https://parlzhcdws.cmicloud.ch/parlzh2/cdws/Index/MITGLIEDER/searchdetails?q=seq%3E0%20and%20dauer_end%20%3E=%20%222020-11-19%2000:00:00%22%20and%20dauer_start%20%3C=%20%222020-11-19%2000:00:00%22%20and%20gremium%20all%20KR%20and%20funktion%20any%20%22Mitglied%20Pr%C3%A4sidium%20Vizepr%C3%A4sidium%22%20sortBy%20name/sort.ascending%20vorname/sort.ascending&l=de-CH","HTML","https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Index/GESCHAEFT/searchdetails?q=beginn_start+%3E+%222009-01-01+00%3A00%3A00%22+&l=de-CH&s=6001&m=1000","REST-API/RSS","https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Index/GESCHAEFT/searchdetails?q=beginn_start+%3E+%222009-01-01+00%3A00%3A00%22+&l=de-CH&s=6001&m=1000","HTML","https://www.zh.ch/de/politik-staat/gesetze-beschluesse/beschluesse-des-regierungsrates.html","REST-API/RSS","https://www.zh.ch/de/politik-staat/opendata.zhweb-noredirect.zhweb-cache.html?keywords=ogd#/datasets/709@fachstelle-ogd-kanton-zuerich/distributions/1770","PDF","https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/bbd5f59320214f3daf7ec357badc0033-332/1/pdf",,"zhweb@sk.zh.ch",
"Zürich",,"https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","REST-API/RSS","https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","REST-API/RSS","https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","REST-API/RSS","https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","HTML","https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","HTML","https://opendata.swiss/de/dataset/schnittstelle-zum-ratsinformationssystem-ris-des-gemeinderats-der-stadt-zurich1","REST-API/RSS",,"HTML","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/stadtrat/geschaefte-des-stadtrates/stadtratsbeschluesse.html",,,,,,"http://www.allgeier.ch/ https://zeix.com/",
"Bern",,"z","HTML","https://ris.bern.ch/Mitglied.aspx?obj_guid=67f92f759a174b8190f46a35fe8436b5","HTML","https://ris.bern.ch/Mitglied.aspx?obj_guid=67f92f759a174b8190f46a35fe8436b5","HTML",,"HTML","https://ris.bern.ch/Mitglied.aspx?obj_guid=67f92f759a174b8190f46a35fe8436b5","HTML",,"HTML","https://ris.bern.ch/Geschaeft.aspx?obj_guid=b269ffc18a5a4a3caf8b3d74d6d71d5d","Nicht Vorhanden","https://www.bern.ch/politik-und-verwaltung/gemeinderat/mitglieder-des-gemeinderats-der-stadt-bern","HTML","https://www.bern.ch/mediencenter/medienmitteilungen/aktuell_stadtrat",,,,"https://webcloud7.ch/",
"Genf",,,"HTML","https://conseil-municipal.geneve.ch/conseil-municipal/presentation-membres/membres-partis/portraits/membre-cm/aubry-conne/","PDF","https://conseil-municipal.geneve.ch/conseil-municipal/presentation-membres/membres-partis/portraits/membre-cm/aubry-conne/","HTML","https://conseil-municipal.geneve.ch/conseil-municipal/presentation-membres/membres-partis/portraits/membre-cm/aubry-conne/","HTML","https://conseil-municipal.geneve.ch/conseil-municipal/presentation-membres/membres-partis/portraits/membre-cm/aubry-conne/","HTML","https://conseil-municipal.geneve.ch/conseil-municipal/objets-interventions/motions/","HTML","https://conseil-municipal.geneve.ch/conseil-municipal/objets-interventions/propositions-conseil-administratif/","HTML","https://conseil-municipal.geneve.ch/conseil-municipal/objets-interventions/propositions-conseil-administratif/","Nicht Vorhanden",,,,,"DSIC (Direction des systèmes d'information et de communication)",
